P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"17,71",2009,10%,"0,38","0,44","0,23","0,32","9,51","0,60","9,57","5,86","0,29",31%,"1,85",3%,2%,3%,"7,93","4,86","0,00%"
"47,45",2010,6%,"0,45","0,54","0,33","0,21","9,64","1,01","11,39","8,42","0,47",31%,"2,61",2%,1%,4%,"6,00","4,44","1,95%"
"105,57",2011,2%,"0,79","0,60","0,40","0,09","9,32","1,01","10,24","7,47","0,40",26%,"1,97",1%,0%,4%,"8,21","5,99","2,02%"
"3,54",2012,55%,"0,76","0,73","0,40","3,53","12,62","0,99","2,74","2,14","0,36",92%,"1,96",28%,10%,14%,"2,18","1,70","2,64%"
"-22,00",2013,-9%,"0,64","0,58","0,14","-0,43","11,94","0,80","6,38","3,80","0,34",52%,"1,98",-4%,-2%,5%,"5,81","3,46","3,79%"
"-2,90",2014,-27%,"1,73","0,50","0,14","-2,65","8,14","0,95","-5,60","-35,86","0,25",-2%,"0,78",-33%,-9%,-5%,"-10,40","-66,60","0,00%"
"6,64",2015,5%,"1,99","0,43","0,08","0,69","8,34","0,55","1,00","0,77","0,15",43%,"0,33",8%,2%,16%,"3,65","2,80","5,00%"
"-1,68",2016,-22%,"2,53","0,48","0,04","-1,89","6,31","0,50","1,48","0,81","0,11",45%,"0,36",-30%,-7%,8%,"7,82","4,25","15,77%"
"-36,96",2017,-1%,"1,55","0,30","0,19","-0,09","7,56","0,44","1,32","0,76","0,13",52%,"0,40",-1%,0%,11%,"4,21","2,42","0,00%"
"-0,72",2018,-32%,"2,01","0,16","0,08","-2,17","5,50","0,28","-3,16","-3,27","0,07",-7%,"0,23",-39%,-10%,-2%,"-23,18","-23,99","12,18%"
"-1,38",2019,-22%,"2,63","0,26","0,13","-1,23","4,27","0,40","-6,76","-8,16","0,08",-4%,"0,30",-29%,-6%,-1%,"-47,38","-57,17","0,00%"
"-1,20",2020,-18%,"2,66","0,22","0,10","-1,06","4,15","0,31","-4,56","-4,84","0,06",-5%,"0,22",-25%,-5%,-1%,"-41,81","-44,37","0,00%"
